hanzi,traditional,pinyin,pinyin_numeric,hsk_level,frequency,pos,meaning_en,meaning_ko,classifiers
实用,實用,shí yòng,shi2 yong4,5,8149,a/vn,practical; functional; pragmatic; applied (science),,
食物,食物,shí wù,shi2 wu4,5,1768,n,food,,种
使劲儿,使勁兒,shǐ jìn r,shi3 jin4 r5,5,1000000,,erhua variant of 使劲; to exert all one's strength,,
始终,始終,shǐ zhōng,shi3 zhong1,5,2984,d/n,from beginning to end; all along,,
士兵,士兵,shì bīng,shi4 bing1,5,2348,n,soldier,,个
似的,似的,shì de,shi4 de5,5,2525,u,seems as if; rather like; Taiwan pr. [sì de],,
似乎,似乎,sì hū,si4 hu1,5,997,d,it seems; seemingly; as if,,
事实,事實,shì shí,shi4 shi2,5,1092,n,fact,,个
事物,事物,shì wù,shi4 wu4,5,3523,n,thing; object,,个
事先,事先,shì xiān,shi4 xian1,5,4757,d,in advance; before the event; beforehand; prior,,
试卷,試卷,shì juàn,shi4 juan4,5,12765,n,examination paper; test paper,,份/张
是否,是否,shì fǒu,shi4 fou3,5,553,v,whether (or not); if; is or isn't,,
收获,收穫,shōu huò,shou1 huo4,5,3809,n/v/vn,to harvest; to reap; to gain; crop; harvest; profit; gain; bonus; reward,,
收据,收據,shōu jù,shou1 ju4,5,11991,n,receipt,,张
手工,手工,shǒu gōng,shou3 gong1,5,6943,n/d,handwork; manual,,
手术,手術,shǒu shù,shou3 shu4,5,1041,n/v/vn,(surgical) operation; surgery,,个
手套,手套,shǒu tào,shou3 tao4,5,6306,n,glove; mitten,,双/只
手续,手續,shǒu xù,shou3 xu4,5,5265,n,procedure; formalities,,道/个
手指,手指,shǒu zhǐ,shou3 zhi3,5,3266,n,finger,,个/只
寿命,壽命,shòu mìng,shou4 ming4,5,10838,n,life span; life expectancy; lifetime (of a machine),,
受伤,受傷,shòu shāng,shou4 shang1,5,1454,v/vn,to sustain injuries; wounded (in an accident etc); harmed,,
书架,書架,shū jià,shu1 jia4,5,16554,n,bookshelf,,个
梳子,梳子,shū zi,shu1 zi5,5,21250,n,comb,,把
舒适,舒適,shū shì,shu1 shi4,5,4270,a/an,cozy; snug,,
输入,輸入,shū rù,shu1 ru4,5,4724,v/vn,to import; to input,,
蔬菜,蔬菜,shū cài,shu1 cai4,5,4103,n,vegetables,,种
熟练,熟練,shú liàn,shu2 lian4,5,9623,a/ad,practiced; proficient; skilled; skillful,,
属于,屬於,shǔ yú,shu3 yu2,5,1036,v,to be classified as; to belong to; to be part of,,
鼠标,鼠標,shǔ biāo,shu3 biao1,5,18087,n,mouse (computing),,
数据,數據,shù jù,shu4 ju4,5,1496,n,data,,
